country_name,year,gdp,social_support,life_expectancy,freedom,trust,generosity,energy_consumption,total_deaths,happiness_score
Norway,2015,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,30,37559,7.522
Canada,2015,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,283,240584,7.427
Netherlands,2015,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,72,134639,7.378
Sweden,2015,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,44,86078,7.364
New Zealand,2015,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,21,29194,7.286
Australia,2015,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,127,144302,7.284
Mexico,2015,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,185,611206,7.187
United States,2015,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2192,2577380,7.119
Brazil,2015,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,297,1180887,6.983
Belgium,2015,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,52,102609,6.937
United Arab Emirates,2015,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,76,20460,6.901
United Kingdom,2015,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,182,557615,6.867
Venezuela,2015,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,64,146581,6.81
Germany,2015,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,309,884640,6.75
Chile,2015,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,36,99225,6.67
France,2015,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,253,524681,6.575
Argentina,2015,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,83,311557,6.574
Colombia,2015,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,41,198194,6.477
Thailand,2015,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,136,418918,6.455
Saudi Arabia,2015,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,216,102393,6.411
Spain,2015,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,117,390454,6.329
Taiwan,2015,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,107,160622,6.298
Kuwait,2015,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,33,7058,6.295
Uzbekistan,2015,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,39,183853,6.003
Japan,2015,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,434,1261327,5.987
South Korea,2015,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,283,266665,5.984
Italy,2015,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,153,592307,5.948
