Id,Year,Country,Consumption
0,1990,China,874.0
1,1991,China,848.0
2,1992,China,877.0
3,1993,China,929.0
4,1994,China,973.0
5,1995,China,1045.0
6,1996,China,1074.0
7,1997,China,1073.0
8,1998,China,1079.0
9,1999,China,1099.0
10,2000,China,1130.0
11,2001,China,1168.0
12,2002,China,1246.0
13,2003,China,1420.0
14,2004,China,1615.0
15,2005,China,1782.0
16,2006,China,1950.0
17,2007,China,2099.0
18,2008,China,2155.0
19,2009,China,2297.0
20,2010,China,2536.0
21,2011,China,2723.0
22,2012,China,2821.0
23,2013,China,2912.0
24,2014,China,2966.0
25,2015,China,2994.0
26,2016,China,2977.0
27,2017,China,3070.0
28,2018,China,3201.0
29,2019,China,3309.0
30,2020,China,3381.0
33,1990,United States,1910.0
34,1991,United States,1925.0
35,1992,United States,1964.0
36,1993,United States,1998.0
37,1994,United States,2036.0
38,1995,United States,2063.0
39,1996,United States,2108.0
40,1997,United States,2130.0
41,1998,United States,2148.0
42,1999,United States,2206.0
43,2000,United States,2269.0
44,2001,United States,2226.0
45,2002,United States,2256.0
46,2003,United States,2262.0
47,2004,United States,2308.0
48,2005,United States,2320.0
49,2006,United States,2298.0
50,2007,United States,2338.0
51,2008,United States,2278.0
52,2009,United States,2165.0
53,2010,United States,2217.0
54,2011,United States,2191.0
55,2012,United States,2152.0
56,2013,United States,2190.0
57,2014,United States,2216.0
58,2015,United States,2192.0
59,2016,United States,2168.0
60,2017,United States,2161.0
61,2018,United States,2236.0
62,2019,United States,2214.0
63,2020,United States,2046.0
66,1990,Brazil,141.0
67,1991,Brazil,143.0
68,1992,Brazil,145.0
69,1993,Brazil,148.0
70,1994,Brazil,156.0
71,1995,Brazil,162.0
72,1996,Brazil,170.0
73,1997,Brazil,179.0
74,1998,Brazil,183.0
75,1999,Brazil,187.0
76,2000,Brazil,188.0
77,2001,Brazil,191.0
78,2002,Brazil,196.0
79,2003,Brazil,199.0
80,2004,Brazil,211.0
81,2005,Brazil,216.0
82,2006,Brazil,224.0
83,2007,Brazil,236.0
84,2008,Brazil,250.0
85,2009,Brazil,242.0
86,2010,Brazil,267.0
87,2011,Brazil,271.0
88,2012,Brazil,282.0
89,2013,Brazil,294.0
90,2014,Brazil,303.0
91,2015,Brazil,297.0
92,2016,Brazil,287.0
93,2017,Brazil,292.0
94,2018,Brazil,288.0
95,2019,Brazil,293.0
96,2020,Brazil,286.0
99,1990,Belgium,48.0
100,1991,Belgium,50.0
101,1992,Belgium,51.0
102,1993,Belgium,49.0
103,1994,Belgium,52.0
104,1995,Belgium,53.0
105,1996,Belgium,56.0
106,1997,Belgium,56.0
107,1998,Belgium,57.0
108,1999,Belgium,57.0
109,2000,Belgium,58.0
110,2001,Belgium,58.0
111,2002,Belgium,56.0
112,2003,Belgium,58.0
113,2004,Belgium,58.0
114,2005,Belgium,58.0
115,2006,Belgium,57.0
116,2007,Belgium,56.0
117,2008,Belgium,58.0
118,2009,Belgium,56.0
119,2010,Belgium,60.0
120,2011,Belgium,56.0
121,2012,Belgium,53.0
122,2013,Belgium,56.0
123,2014,Belgium,53.0
124,2015,Belgium,52.0
125,2016,Belgium,56.0
126,2017,Belgium,55.0
127,2018,Belgium,53.0
128,2019,Belgium,55.0
129,2020,Belgium,51.0
132,1990,Czechia,50.0
133,1991,Czechia,45.0
134,1992,Czechia,44.0
135,1993,Czechia,43.0
136,1994,Czechia,41.0
137,1995,Czechia,42.0
138,1996,Czechia,43.0
139,1997,Czechia,43.0
140,1998,Czechia,42.0
141,1999,Czechia,39.0
142,2000,Czechia,41.0
143,2001,Czechia,42.0
144,2002,Czechia,43.0
145,2003,Czechia,45.0
146,2004,Czechia,46.0
147,2005,Czechia,45.0
148,2006,Czechia,46.0
149,2007,Czechia,46.0
150,2008,Czechia,45.0
151,2009,Czechia,43.0
152,2010,Czechia,45.0
153,2011,Czechia,43.0
154,2012,Czechia,43.0
155,2013,Czechia,43.0
156,2014,Czechia,42.0
157,2015,Czechia,42.0
158,2016,Czechia,41.0
159,2017,Czechia,43.0
160,2018,Czechia,43.0
161,2019,Czechia,43.0
162,2020,Czechia,39.0
165,1990,France,225.0
166,1991,France,237.0
167,1992,France,234.0
168,1993,France,238.0
169,1994,France,231.0
170,1995,France,240.0
171,1996,France,251.0
172,1997,France,244.0
173,1998,France,252.0
174,1999,France,252.0
175,2000,France,255.0
176,2001,France,260.0
177,2002,France,261.0
178,2003,France,268.0
179,2004,France,271.0
180,2005,France,273.0
181,2006,France,268.0
182,2007,France,265.0
183,2008,France,266.0
184,2009,France,255.0
185,2010,France,263.0
186,2011,France,258.0
187,2012,France,258.0
188,2013,France,259.0
189,2014,France,249.0
190,2015,France,253.0
191,2016,France,248.0
192,2017,France,247.0
193,2018,France,246.0
194,2019,France,243.0
195,2020,France,217.0
198,1990,Germany,351.0
199,1991,Germany,344.0
200,1992,Germany,338.0
201,1993,Germany,335.0
202,1994,Germany,333.0
203,1995,Germany,336.0
204,1996,Germany,348.0
205,1997,Germany,345.0
206,1998,Germany,343.0
207,1999,Germany,335.0
208,2000,Germany,337.0
209,2001,Germany,347.0
210,2002,Germany,339.0
211,2003,Germany,338.0
212,2004,Germany,341.0
213,2005,Germany,339.0
214,2006,Germany,349.0
215,2007,Germany,331.0
216,2008,Germany,335.0
217,2009,Germany,313.0
218,2010,Germany,330.0
219,2011,Germany,313.0
220,2012,Germany,315.0
221,2013,Germany,322.0
222,2014,Germany,307.0
223,2015,Germany,309.0
224,2016,Germany,310.0
225,2017,Germany,311.0
226,2018,Germany,302.0
227,2019,Germany,294.0
228,2020,Germany,275.0
231,1990,Italy,147.0
232,1991,Italy,150.0
233,1992,Italy,149.0
234,1993,Italy,149.0
235,1994,Italy,147.0
236,1995,Italy,159.0
237,1996,Italy,159.0
238,1997,Italy,162.0
239,1998,Italy,166.0
240,1999,Italy,169.0
241,2000,Italy,172.0
242,2001,Italy,172.0
243,2002,Italy,174.0
244,2003,Italy,182.0
245,2004,Italy,183.0
246,2005,Italy,187.0
247,2006,Italy,185.0
248,2007,Italy,184.0
249,2008,Italy,182.0
250,2009,Italy,170.0
251,2010,Italy,174.0
252,2011,Italy,168.0
253,2012,Italy,162.0
254,2013,Italy,156.0
255,2014,Italy,147.0
256,2015,Italy,153.0
257,2016,Italy,151.0
258,2017,Italy,154.0
259,2018,Italy,151.0
260,2019,Italy,149.0
261,2020,Italy,137.0
264,1990,Netherlands,67.0
265,1991,Netherlands,69.0
266,1992,Netherlands,69.0
267,1993,Netherlands,70.0
268,1994,Netherlands,70.0
269,1995,Netherlands,73.0
270,1996,Netherlands,77.0
271,1997,Netherlands,75.0
272,1998,Netherlands,75.0
273,1999,Netherlands,74.0
274,2000,Netherlands,75.0
275,2001,Netherlands,77.0
276,2002,Netherlands,78.0
277,2003,Netherlands,80.0
278,2004,Netherlands,81.0
279,2005,Netherlands,80.0
280,2006,Netherlands,79.0
281,2007,Netherlands,79.0
282,2008,Netherlands,78.0
283,2009,Netherlands,77.0
284,2010,Netherlands,83.0
285,2011,Netherlands,77.0
286,2012,Netherlands,77.0
287,2013,Netherlands,75.0
288,2014,Netherlands,71.0
289,2015,Netherlands,72.0
290,2016,Netherlands,74.0
291,2017,Netherlands,74.0
292,2018,Netherlands,73.0
293,2019,Netherlands,72.0
294,2020,Netherlands,70.0
297,1990,Poland,103.0
298,1991,Poland,101.0
299,1992,Poland,99.0
300,1993,Poland,101.0
301,1994,Poland,96.0
302,1995,Poland,99.0
303,1996,Poland,104.0
304,1997,Poland,102.0
305,1998,Poland,95.0
306,1999,Poland,93.0
307,2000,Poland,89.0
308,2001,Poland,90.0
309,2002,Poland,89.0
310,2003,Poland,91.0
311,2004,Poland,91.0
312,2005,Poland,92.0
313,2006,Poland,97.0
314,2007,Poland,97.0
315,2008,Poland,98.0
316,2009,Poland,94.0
317,2010,Poland,101.0
318,2011,Poland,101.0
319,2012,Poland,98.0
320,2013,Poland,98.0
321,2014,Poland,95.0
322,2015,Poland,96.0
323,2016,Poland,100.0
324,2017,Poland,104.0
325,2018,Poland,106.0
326,2019,Poland,103.0
327,2020,Poland,97.0
330,1990,Portugal,17.0
331,1991,Portugal,17.0
332,1992,Portugal,18.0
333,1993,Portugal,18.0
334,1994,Portugal,18.0
335,1995,Portugal,20.0
336,1996,Portugal,20.0
337,1997,Portugal,21.0
338,1998,Portugal,23.0
339,1999,Portugal,24.0
340,2000,Portugal,25.0
341,2001,Portugal,25.0
342,2002,Portugal,26.0
343,2003,Portugal,25.0
344,2004,Portugal,26.0
